year_birth,education,marital_status,income,kidhome,teenhome,date,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,response,customer_age,age_group,day_as_customer,loyality_tier,is_parent,household_size,Total_Spending
1986,Graduation,Married,92910.0,0,0,2014-04-24,42,551,137,792,179,103,33,1,6,7,13,1,0,39,30-45,4015,very loyal,0,1,1795
1989,Graduation,Married,75433.0,1,0,2014-04-05,28,800,0,297,0,34,57,2,2,5,10,6,0,36,30-45,4034,very loyal,1,2,1188
1989,2N Cycle,Married,10404.0,1,0,2014-05-04,52,2,2,11,10,6,12,2,1,0,4,5,0,36,30-45,4005,very loyal,1,2,43
1968,Graduation,Married,61314.0,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,57,45-60,4379,very loyal,0,2,1008
1961,Phd,Single,84865.0,0,0,2013-05-09,1,1248,16,349,43,16,16,1,2,4,9,4,1,64,60-80,4365,very loyal,0,1,1688
1989,Graduation,Married,42387.0,1,0,2012-10-29,42,235,0,235,19,4,191,5,8,1,7,8,0,36,30-45,4557,very loyal,1,2,684
1967,2N Cycle,Married,67309.0,1,1,2013-01-23,76,515,47,181,149,95,95,15,9,6,9,7,0,58,45-60,4471,very loyal,1,3,1082
1964,Graduation,Married,75236.0,0,1,2013-11-25,27,438,66,400,12,38,114,1,8,3,13,4,0,61,60-80,4165,very loyal,0,2,1068
1970,Graduation,Single,30015.0,1,0,2014-02-02,28,25,0,22,2,3,5,2,1,0,4,5,0,55,45-60,4096,very loyal,1,2,57
1956,Master,Married,50943.0,0,1,2013-06-21,49,31,0,7,2,0,6,1,1,0,3,5,0,69,60-80,4322,very loyal,0,2,46
1966,Graduation,Divorced,67272.0,0,1,2013-12-21,12,357,35,271,28,28,14,3,6,2,12,5,0,59,45-60,4139,very loyal,0,2,733
1949,Master,Widowed,51529.0,0,1,2013-09-07,14,400,4,35,6,0,22,2,9,1,5,8,0,76,60-80,4244,very loyal,0,2,467
1971,Phd,Married,32011.0,1,0,2013-08-22,89,99,0,15,2,1,5,3,2,1,4,7,0,54,45-60,4260,very loyal,1,2,122
1986,2N Cycle,Married,7500.0,1,0,2013-02-07,96,1,11,5,4,6,9,2,2,0,3,8,0,39,30-45,4456,very loyal,1,2,36
1989,Graduation,Married,28691.0,1,0,2013-07-04,56,5,4,13,8,0,4,1,1,0,3,8,0,36,30-45,4309,very loyal,1,2,34
1948,Phd,Married,56223.0,0,1,2013-12-20,72,77,28,31,16,0,4,2,2,1,5,4,0,77,60-80,4140,very loyal,0,2,156
1946,Graduation,Married,18100.0,0,0,2013-08-06,14,3,1,2,4,3,1,1,0,0,3,5,0,79,60-80,4276,very loyal,0,1,14
1989,Graduation,Single,30279.0,1,0,2012-12-30,13,10,4,14,4,4,1,1,1,0,3,8,0,36,30-45,4495,very loyal,1,2,37
1974,2N Cycle,Married,20130.0,0,0,2014-03-17,99,0,6,3,7,6,12,1,1,0,3,8,0,51,45-60,4053,very loyal,0,1,34
1959,Graduation,Divorced,23295.0,0,0,2013-07-13,72,0,0,1,2,12,5,1,1,0,2,8,0,66,60-80,4300,very loyal,0,1,20
1972,Master,Divorced,42618.0,1,0,2013-10-09,92,76,14,74,13,5,10,2,5,0,4,8,0,53,45-60,4212,very loyal,1,2,192
1964,Graduation,Single,81246.0,0,0,2013-12-29,87,398,190,537,61,156,37,1,4,5,7,1,0,61,60-80,4131,very loyal,0,1,1379
1976,Graduation,Married,24027.0,1,0,2013-06-09,7,14,7,11,11,0,5,2,2,0,3,8,0,49,45-60,4334,very loyal,1,2,48
1953,Phd,Married,55707.0,0,1,2013-12-22,91,208,7,82,30,66,35,2,3,2,9,3,0,72,60-80,4138,very loyal,0,2,428
1955,Graduation,Single,57959.0,0,1,2013-05-02,71,430,16,322,43,24,33,5,4,7,11,3,0,70,60-80,4372,very loyal,0,2,868
1969,Graduation,Married,56796.0,0,1,2013-02-16,24,656,38,161,62,47,37,3,8,9,7,7,0,56,45-60,4447,very loyal,0,2,1001
1971,Master,Single,36230.0,1,0,2013-10-17,17,14,2,30,8,2,3,1,2,0,4,5,0,54,45-60,4204,very loyal,1,2,59
1980,2N Cycle,Married,70829.0,1,1,2013-12-01,87,141,70,106,72,19,23,2,4,2,8,3,0,45,30-45,4159,very loyal,1,3,431
1976,Graduation,Married,65991.0,0,1,2012-09-07,21,507,19,364,25,47,9,3,9,5,10,7,0,49,45-60,4609,very loyal,0,2,971
1972,Graduation,Married,38988.0,1,2,2012-08-20,90,164,24,103,12,3,42,7,5,1,6,8,0,53,45-60,4627,very loyal,1,4,348
1966,2N Cycle,Single,89572.0,0,0,2012-09-15,44,606,24,974,197,194,64,1,7,7,9,4,1,59,45-60,4601,very loyal,0,1,2059
1984,Master,Married,42207.0,1,0,2013-04-01,71,116,11,72,3,17,46,4,4,1,5,6,1,41,30-45,4403,very loyal,1,2,265
1952,Graduation,Married,50300.0,0,1,2014-05-25,52,143,15,60,24,23,5,2,2,1,8,2,0,73,60-80,3984,very loyal,0,2,270
1982,2N Cycle,Married,66664.0,0,0,2012-09-25,78,398,96,447,220,96,32,1,5,7,6,3,0,43,30-45,4591,very loyal,0,1,1289
1964,Graduation,Married,60597.0,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,1,61,60-80,4128,very loyal,0,2,893
1949,Graduation,Widowed,70165.0,0,0,2013-09-22,60,161,0,253,199,191,122,1,3,7,11,1,0,76,60-80,4229,very loyal,0,1,926
1958,Phd,Widowed,50520.0,0,1,2014-01-28,25,112,0,6,2,1,14,2,3,1,3,6,0,67,60-80,4101,very loyal,0,2,135
1963,Graduation,Married,80124.0,0,0,2014-06-26,47,483,84,398,205,84,241,1,3,7,8,1,0,62,60-80,3952,very loyal,0,1,1495
1975,Graduation,Married,33183.0,1,0,2014-02-24,46,7,5,39,17,15,37,2,4,0,3,7,0,50,45-60,4074,very loyal,1,2,120
1969,Phd,Single,66582.0,0,0,2014-03-03,83,789,25,420,16,38,0,1,2,8,9,1,0,56,45-60,4067,very loyal,0,1,1288
1955,Phd,Married,75261.0,0,0,2013-04-23,17,1239,17,413,23,34,17,1,5,6,5,2,1,70,60-80,4381,very loyal,0,1,1743
1970,Graduation,Widowed,31880.0,1,0,2012-10-31,13,4,1,5,2,0,3,1,1,0,2,8,0,55,45-60,4555,very loyal,1,2,15
1951,Graduation,Married,53790.0,0,2,2014-03-06,86,335,42,127,28,5,5,3,7,2,8,6,0,74,60-80,4064,very loyal,0,3,542
1971,Phd,Married,49269.0,1,0,2012-08-15,92,639,8,166,11,8,58,3,7,3,12,7,0,54,45-60,4632,very loyal,1,2,890
1975,Graduation,Married,61456.0,0,1,2013-03-27,47,563,76,384,84,192,89,4,6,10,13,4,0,50,45-60,4408,very loyal,0,2,1388
1980,Graduation,Married,37406.0,1,0,2013-10-10,18,2,0,8,2,2,3,1,1,0,2,8,1,45,30-45,4211,very loyal,1,2,17
1981,Phd,Married,56937.0,1,0,2012-08-04,81,746,8,125,11,8,8,7,8,6,9,6,1,44,30-45,4643,very loyal,1,2,906
1978,Graduation,Married,38415.0,1,1,2013-01-02,91,22,1,13,4,0,4,2,1,0,3,7,0,47,45-60,4492,very loyal,1,3,44
1988,Graduation,Single,20518.0,1,0,2014-05-18,58,4,1,6,4,1,9,1,1,1,2,5,0,37,30-45,3991,very loyal,1,2,25
1956,Graduation,Married,62503.0,0,1,2013-02-18,40,478,0,193,110,75,117,4,8,3,11,5,0,69,60-80,4445,very loyal,0,2,973
1972,Phd,Single,41644.0,1,1,2014-05-09,67,20,3,4,2,0,2,2,1,0,3,3,0,53,45-60,4000,very loyal,1,3,31
1977,Master,Married,55842.0,0,1,2014-05-23,19,451,0,39,0,4,24,1,7,1,8,5,0,48,45-60,3986,very loyal,0,2,518
1972,Phd,Married,62010.0,0,1,2012-10-23,93,371,22,39,6,0,92,4,6,2,7,5,0,53,45-60,4563,very loyal,0,2,530
1977,Graduation,Married,41124.0,1,0,2012-10-31,41,281,7,84,15,0,119,7,7,3,4,8,0,48,45-60,4555,very loyal,1,2,506
1973,Master,Married,38961.0,1,0,2013-12-30,60,19,7,19,0,1,24,1,2,1,2,7,0,52,45-60,4130,very loyal,1,2,70
1972,Master,Divorced,37760.0,1,0,2013-08-11,54,26,3,13,2,10,0,1,2,0,3,6,0,53,45-60,4271,very loyal,1,2,54
1974,Graduation,Single,32233.0,1,0,2012-08-19,26,138,15,35,25,11,72,2,6,2,2,9,1,51,45-60,4628,very loyal,1,2,296
1975,Graduation,Married,43057.0,0,1,2013-10-30,30,213,2,44,0,2,5,4,4,2,5,5,0,50,45-60,4191,very loyal,0,2,266
1960,Master,Married,83151.0,0,0,2012-10-10,93,407,28,100,120,74,18,1,5,9,4,3,0,65,60-80,4576,very loyal,0,1,747
1964,Phd,Divorced,78825.0,0,0,2012-09-14,35,483,74,114,169,37,18,1,5,10,13,3,1,61,60-80,4602,very loyal,0,1,895
1976,Master,Married,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,49,45-60,4176,very loyal,0,2,1053
1974,Graduation,Married,60093.0,0,1,2013-06-26,92,502,12,109,16,6,90,2,7,2,10,6,0,51,45-60,4317,very loyal,0,2,735
1969,Graduation,Married,14045.0,1,0,2014-01-26,24,11,0,5,2,1,1,1,1,0,3,7,0,56,45-60,4103,very loyal,1,2,20
1952,2N Cycle,Widowed,28457.0,0,0,2012-10-28,96,24,1,108,29,29,14,1,4,1,4,8,0,73,60-80,4558,very loyal,0,1,205
1958,Phd,Married,78952.0,0,1,2012-09-24,11,1170,19,594,99,76,134,2,2,5,12,6,0,67,60-80,4592,very loyal,0,2,2092
1976,Graduation,Divorced,46310.0,1,0,2012-12-03,99,185,2,88,15,5,14,2,6,1,5,8,0,49,45-60,4522,very loyal,1,2,309
1955,Graduation,Married,76005.0,0,0,2013-02-22,72,983,20,389,240,50,40,1,3,5,13,6,0,70,60-80,4441,very loyal,0,1,1722
1964,Master,Single,58308.0,0,1,2013-01-12,77,691,0,69,10,0,130,4,2,6,3,8,0,61,60-80,4482,very loyal,0,2,900
1944,Phd,Divorced,55614.0,0,0,2013-11-27,85,504,13,131,8,0,26,1,9,4,6,7,0,81,80+,4163,very loyal,0,1,682
1962,Master,Divorced,59432.0,0,1,2013-04-13,88,317,25,265,25,19,12,3,5,3,11,5,0,63,60-80,4391,very loyal,0,2,663
1978,Graduation,Divorced,55563.0,0,1,2014-04-05,22,29,1,9,2,0,2,1,2,0,3,3,0,47,45-60,4034,very loyal,0,2,43
1971,Phd,Married,78642.0,0,1,2013-04-21,83,1396,0,322,46,35,17,1,4,9,4,6,0,54,45-60,4383,very loyal,0,2,1816
1949,Phd,Married,67911.0,0,1,2014-05-22,63,529,0,356,63,28,0,3,6,7,11,3,0,76,60-80,3987,very loyal,0,2,976
1944,Graduation,Married,65275.0,0,0,2013-04-03,9,388,14,218,91,14,21,1,4,3,13,2,0,81,80+,4401,very loyal,0,1,746
1950,Graduation,Married,27203.0,1,1,2012-08-06,92,13,2,21,4,0,24,2,1,1,2,8,0,75,60-80,4641,very loyal,1,3,64
1961,Master,Married,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,64,60-80,4175,very loyal,0,2,32
1990,Basic,Married,24279.0,0,0,2012-12-29,6,16,36,21,20,62,108,1,4,1,3,8,0,35,30-45,4496,very loyal,0,1,263
1985,Phd,Married,64355.0,1,0,2012-08-24,66,1047,0,140,67,38,153,2,4,3,12,8,0,40,30-45,4623,very loyal,1,2,1445
1956,Master,Married,50943.0,0,1,2013-06-21,49,31,0,7,2,0,6,1,1,0,3,5,0,69,60-80,4322,very loyal,0,2,46
1953,Graduation,Widowed,53653.0,0,0,2012-11-07,29,815,10,239,28,10,108,2,10,4,12,6,0,72,60-80,4548,very loyal,0,1,1210
1976,Graduation,Married,65665.0,0,1,2013-12-02,77,225,162,387,106,36,29,1,5,10,8,3,0,49,45-60,4158,very loyal,0,2,945
1989,Graduation,Single,81217.0,0,0,2013-07-19,77,493,70,324,146,40,84,1,3,7,11,1,0,36,30-45,4294,very loyal,0,1,1157
1992,Graduation,Married,34935.0,0,0,2013-06-21,71,34,4,66,3,10,20,1,2,1,4,7,0,33,30-45,4322,very loyal,0,1,137
1959,Graduation,Divorced,61250.0,0,1,2012-12-16,49,382,138,65,60,26,59,6,5,2,12,5,0,66,60-80,4509,very loyal,0,2,730
1981,Phd,Married,39665.0,1,0,2013-05-25,97,127,1,56,0,1,31,3,4,2,3,7,0,44,30-45,4349,very loyal,1,2,216
1979,Graduation,Single,60152.0,0,1,2013-03-28,6,325,83,300,86,58,91,1,6,4,12,3,0,46,45-60,4407,very loyal,0,2,943
1964,Graduation,Married,48920.0,0,2,2013-10-20,93,238,17,68,8,10,6,3,6,2,5,7,0,61,60-80,4201,very loyal,0,3,347
1959,Master,Married,89120.0,0,0,2014-03-17,78,1168,92,408,72,129,55,1,5,6,7,1,0,66,60-80,4053,very loyal,0,1,1924
1946,Phd,Married,44124.0,0,1,2013-05-11,62,284,0,55,0,6,52,4,6,2,5,8,0,79,60-80,4363,very loyal,0,2,397
1975,Master,Single,81169.0,0,0,2013-04-14,47,1288,20,613,80,61,27,1,5,7,9,2,0,50,45-60,4390,very loyal,0,1,2089
1961,Graduation,Married,36443.0,1,1,2013-02-03,9,65,0,46,4,3,20,4,3,1,3,8,0,64,60-80,4460,very loyal,1,3,138
1990,Graduation,Single,26095.0,1,0,2013-06-30,77,11,7,9,3,1,11,1,1,0,3,7,0,35,30-45,4313,very loyal,1,2,42
1959,Graduation,Married,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,66,60-80,4259,very loyal,0,1,777
1944,Master,Married,80184.0,0,0,2014-03-01,19,1035,134,670,25,38,0,1,6,3,10,3,0,81,80+,4069,very loyal,0,1,1902
1965,Graduation,Divorced,30630.0,1,1,2014-01-27,67,27,1,12,2,0,10,2,2,0,3,7,0,60,45-60,4102,very loyal,1,3,52
1987,Master,Single,73454.0,0,0,2014-03-01,95,982,73,351,56,14,175,1,2,4,6,5,0,38,30-45,4069,very loyal,0,1,1651
1991,Graduation,Married,42691.0,0,0,2013-08-16,48,179,2,64,38,17,58,1,5,1,6,5,0,34,30-45,4266,very loyal,0,1,358
1953,Graduation,Married,70503.0,0,0,2012-09-30,73,1379,33,216,0,33,66,1,2,4,9,6,0,72,60-80,4586,very loyal,0,1,1727
1987,Graduation,Married,25545.0,1,0,2012-09-08,35,32,1,64,16,12,85,3,2,2,3,6,1,38,30-45,4608,very loyal,1,2,210
1986,Graduation,Married,32880.0,1,0,2012-12-04,76,8,4,15,7,6,2,1,1,0,3,8,0,39,30-45,4521,very loyal,1,2,42
1958,Phd,Married,77863.0,0,0,2013-11-27,20,881,38,319,16,25,12,1,4,5,10,2,0,67,60-80,4163,very loyal,0,1,1291
1977,Master,Married,50353.0,0,0,2014-06-08,72,141,15,153,67,31,35,1,4,4,6,3,0,48,45-60,3970,very loyal,0,1,442
1964,Graduation,Single,61839.0,0,0,2012-08-12,20,1000,155,379,224,17,120,1,4,8,4,8,0,61,60-80,4635,very loyal,0,1,1895
1960,Phd,Married,49154.0,1,1,2013-11-03,69,206,10,67,30,27,71,6,4,1,8,6,0,65,60-80,4187,very loyal,1,3,411
1975,2N Cycle,Widowed,47682.0,0,1,2013-02-15,80,162,61,83,97,57,61,4,4,3,8,5,0,50,45-60,4448,very loyal,0,2,521
1969,Graduation,Single,72679.0,0,1,2013-09-18,65,619,54,260,127,54,54,1,4,7,5,1,0,56,45-60,4233,very loyal,0,2,1168
1977,Master,Married,57954.0,1,1,2014-06-18,52,456,4,24,0,0,9,7,8,2,6,7,0,48,45-60,3960,very loyal,1,3,493
1962,Graduation,Married,65316.0,1,1,2013-04-24,65,112,6,92,3,9,38,2,3,2,5,4,0,63,60-80,4380,very loyal,1,3,260
1982,Graduation,Single,28567.0,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,43,30-45,4326,very loyal,1,2,46
1951,Master,Married,47352.0,0,1,2013-04-11,70,172,12,112,8,0,15,4,6,1,5,7,0,74,60-80,4393,very loyal,0,2,319
1967,Graduation,Married,44931.0,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,58,45-60,4111,very loyal,0,2,96
1967,Graduation,Divorced,76982.0,0,0,2014-02-15,19,464,151,292,65,60,30,1,8,3,4,4,1,58,45-60,4083,very loyal,0,1,1062
1952,2N Cycle,Married,57247.0,0,1,2013-08-08,50,99,4,32,37,54,6,2,2,1,7,2,0,73,60-80,4274,very loyal,0,2,232
1981,Master,Single,22944.0,1,0,2013-12-23,67,19,3,19,4,5,26,3,3,0,3,7,0,44,30-45,4137,very loyal,1,2,76
1977,2N Cycle,Married,25315.0,1,0,2013-11-07,46,1,9,8,11,3,22,3,3,0,3,8,0,48,45-60,4183,very loyal,1,2,54
1969,Graduation,Widowed,43638.0,0,1,2012-08-06,37,63,10,83,7,19,19,2,4,1,4,7,0,56,45-60,4641,very loyal,0,2,201
1984,Phd,Single,42710.0,1,0,2012-11-28,38,252,3,42,4,3,102,2,4,5,3,6,0,41,30-45,4527,very loyal,1,2,406
1982,Phd,Married,84169.0,0,0,2013-08-07,9,1478,19,403,0,19,0,1,7,6,6,3,1,43,30-45,4275,very loyal,0,1,1919
1976,Graduation,Married,54058.0,0,1,2013-06-04,56,198,18,252,32,108,54,2,4,6,8,3,0,49,45-60,4339,very loyal,0,2,662
1990,2N Cycle,Married,24683.0,1,0,2014-03-08,98,8,4,10,6,7,6,2,2,0,4,5,0,35,30-45,4062,very loyal,1,2,41
1964,Graduation,Widowed,85620.0,0,0,2014-01-07,68,416,46,925,60,107,46,1,3,6,4,1,1,61,60-80,4122,very loyal,0,1,1600
1980,Graduation,Married,47850.0,1,0,2013-12-03,72,42,7,43,20,12,10,1,3,0,4,6,0,45,30-45,4157,very loyal,1,2,134
1968,Graduation,Married,19514.0,1,1,2014-01-26,47,14,3,21,2,1,28,4,3,1,2,8,1,57,45-60,4103,very loyal,1,3,69
1973,Master,Married,27159.0,1,1,2014-03-29,33,17,0,3,0,0,1,2,1,0,3,6,0,52,45-60,4041,very loyal,1,3,21
1963,2N Cycle,Single,39548.0,1,1,2014-03-31,87,15,4,10,3,4,18,2,1,1,3,3,0,62,60-80,4039,very loyal,1,3,54
1989,Graduation,Single,21474.0,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,36,30-45,4031,very loyal,1,2,91
1971,Phd,Single,60504.0,0,1,2014-02-07,73,458,0,24,6,4,34,2,6,2,8,6,0,54,45-60,4091,very loyal,0,2,526
1963,Graduation,Married,22419.0,0,0,2013-04-18,74,30,3,47,19,21,42,1,3,2,2,8,0,62,60-80,4386,very loyal,0,1,162
1949,Master,Married,81698.0,0,0,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,1,76,60-80,4184,very loyal,0,1,1008
1952,Graduation,Married,43462.0,1,1,2012-09-12,50,90,17,97,15,6,15,6,4,1,5,8,0,73,60-80,4604,very loyal,1,3,240
1978,Phd,Single,54880.0,1,0,2013-03-01,57,308,85,137,102,45,118,2,6,2,11,5,0,47,45-60,4434,very loyal,1,2,795
1982,Graduation,Married,79908.0,0,0,2013-04-05,30,557,129,761,29,185,111,1,5,6,7,2,0,43,30-45,4399,very loyal,0,1,1772
1970,2N Cycle,Married,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,55,45-60,4279,very loyal,0,1,64
1959,Graduation,Married,87771.0,0,1,2013-05-22,61,1492,38,287,50,57,33,1,5,10,4,6,1,66,60-80,4352,very loyal,0,2,1957
1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,47,45-60,4242,very loyal,1,2,78
1980,Graduation,Single,81741.0,0,0,2013-06-16,75,249,153,940,58,134,38,0,6,6,7,2,0,45,30-45,4327,very loyal,0,1,1572
1971,Master,Married,71499.0,0,1,2013-06-25,12,465,25,132,136,0,37,2,8,3,13,4,0,54,45-60,4318,very loyal,0,2,795
1970,2N Cycle,Married,62466.0,0,1,2014-01-15,13,129,129,259,168,121,83,5,6,3,12,4,0,55,45-60,4114,very loyal,0,2,889
1963,Phd,Divorced,48799.0,0,1,2013-11-05,9,174,18,81,28,6,24,3,3,2,7,3,0,62,60-80,4185,very loyal,0,2,331
1950,Phd,Married,52157.0,0,1,2014-06-07,48,189,2,29,3,2,40,2,3,2,5,4,0,75,60-80,3971,very loyal,0,2,265
1962,Graduation,Single,66565.0,0,1,2012-12-05,80,747,10,161,65,40,42,4,4,2,9,8,0,63,60-80,4520,very loyal,0,2,1065
1951,Master,Married,29298.0,1,1,2013-09-07,60,6,0,2,2,0,1,1,1,0,2,5,0,74,60-80,4244,very loyal,1,3,11
1979,Graduation,Single,47691.0,0,1,2013-07-05,43,14,0,3,0,0,4,1,1,0,2,6,0,46,45-60,4308,very loyal,0,2,21
1970,Graduation,Married,38200.0,1,1,2012-12-07,19,12,0,4,0,0,1,1,1,0,2,7,0,55,45-60,4518,very loyal,1,3,17
1974,Graduation,Married,44989.0,0,1,2012-09-12,26,98,0,106,49,10,106,5,5,1,5,6,0,51,45-60,4604,very loyal,0,2,369
1968,Phd,Married,38443.0,1,1,2014-01-27,58,32,0,5,0,0,1,2,1,0,3,7,0,57,45-60,4102,very loyal,1,3,38
1978,2N Cycle,Single,38593.0,1,0,2013-09-13,42,51,12,49,17,24,24,3,4,1,3,8,0,47,45-60,4238,very loyal,1,2,177
1970,Phd,Married,64413.0,0,1,2013-08-01,27,200,5,44,0,10,20,1,5,1,5,5,0,55,45-60,4281,very loyal,0,2,279
1981,Master,Married,36959.0,1,0,2013-10-02,56,25,6,25,6,0,0,2,2,0,3,8,0,44,30-45,4219,very loyal,1,2,62
1977,Phd,Married,61996.0,0,1,2013-01-31,27,1050,12,144,0,0,24,3,6,4,8,5,1,48,45-60,4463,very loyal,0,2,1230
1968,Graduation,Married,51287.0,1,1,2014-04-01,10,117,0,22,13,0,30,3,4,1,3,7,0,57,45-60,4038,very loyal,1,3,182
1970,Graduation,Married,13260.0,1,1,2013-08-23,48,9,4,17,10,2,7,4,3,0,3,8,0,55,45-60,4259,very loyal,1,3,49
1966,Phd,Married,47472.0,1,1,2013-09-16,39,56,0,11,0,0,8,2,2,0,4,5,0,59,45-60,4235,very loyal,1,3,75
1956,Master,Married,54603.0,1,1,2013-07-09,85,145,13,46,17,2,4,6,4,2,4,7,0,69,60-80,4304,very loyal,1,3,227
1974,Phd,Married,45207.0,1,1,2012-11-10,64,203,0,10,0,0,2,5,3,1,6,6,0,51,45-60,4545,very loyal,1,3,215
1951,Graduation,Married,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,74,60-80,4417,very loyal,0,2,444
1967,2N Cycle,Married,47821.0,1,1,2013-10-20,54,9,0,16,6,6,10,1,1,0,3,8,0,58,45-60,4201,very loyal,1,3,47
1951,Master,Married,27450.0,0,0,2013-04-15,57,37,12,23,8,11,52,1,2,1,3,7,0,74,60-80,4389,very loyal,0,1,143
1983,Graduation,Married,39453.0,1,0,2014-04-03,64,46,0,7,0,0,2,2,2,0,3,6,0,42,30-45,4036,very loyal,1,2,55
1971,2N Cycle,Married,26850.0,1,1,2014-04-18,10,31,1,13,7,2,9,4,2,1,4,4,0,54,45-60,4021,very loyal,1,3,63
1955,Graduation,Widowed,79800.0,0,0,2012-09-23,65,1060,21,530,32,0,224,1,5,11,5,3,1,70,60-80,4593,very loyal,0,1,1867
1961,Master,Married,61794.0,0,1,2013-09-14,74,264,47,188,54,47,11,2,4,4,10,2,0,64,60-80,4237,very loyal,0,2,611
1955,Graduation,Married,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,70,60-80,3992,very loyal,0,2,473
1959,Graduation,Married,24221.0,0,0,2013-08-20,94,8,9,9,2,5,22,1,1,1,3,4,0,66,60-80,4262,very loyal,0,1,55
1984,Phd,Single,39684.0,1,0,2012-10-12,41,19,0,35,6,4,17,2,2,1,2,7,1,41,30-45,4574,very loyal,1,2,81
1975,Master,Married,92163.0,0,0,2012-12-12,25,817,183,797,106,163,20,0,5,11,5,2,1,50,45-60,4513,very loyal,0,1,2086
1965,Master,Single,69882.0,0,0,2013-11-10,94,292,127,635,132,127,165,1,3,7,9,1,0,60,45-60,4180,very loyal,0,1,1478
1977,Graduation,Married,33178.0,1,0,2014-01-30,9,12,6,2,11,2,16,1,1,0,3,4,0,48,45-60,4099,very loyal,1,2,49
1972,Phd,Married,59973.0,0,0,2013-09-11,47,130,30,168,20,34,0,1,3,4,7,1,0,53,45-60,4240,very loyal,0,1,382
1975,Master,Married,17459.0,1,0,2013-09-19,12,6,4,16,3,10,30,3,3,1,2,7,1,50,45-60,4232,very loyal,1,2,69
1969,Graduation,Divorced,23910.0,1,0,2012-10-26,80,16,12,18,7,1,13,1,2,0,3,7,0,56,45-60,4560,very loyal,1,2,67
1969,Master,Married,42169.0,1,1,2013-10-19,20,19,0,9,0,0,2,2,1,0,3,8,0,56,45-60,4202,very loyal,1,3,30
1978,2N Cycle,Married,26224.0,1,0,2013-06-04,39,4,7,15,13,9,15,3,2,1,3,6,0,47,45-60,4339,very loyal,1,2,63
1981,Graduation,Married,31089.0,1,0,2012-08-17,57,31,3,31,2,8,4,3,3,0,4,8,0,44,30-45,4630,very loyal,1,2,79
1961,Graduation,Single,30081.0,0,1,2013-02-21,27,36,0,2,0,0,4,1,1,0,3,7,0,64,60-80,4442,very loyal,0,2,42
1960,Graduation,Married,62807.0,0,1,2012-08-31,83,526,28,135,10,21,99,3,5,3,12,5,0,65,60-80,4616,very loyal,0,2,819
1955,Graduation,Single,72906.0,0,0,2013-09-17,79,400,32,519,71,75,54,1,3,4,9,1,0,70,60-80,4234,very loyal,0,1,1151
1948,Phd,Married,61467.0,0,2,2012-12-09,69,410,16,114,0,5,49,3,5,2,10,5,0,77,60-80,4516,very loyal,0,3,594
1966,Master,Married,49618.0,1,1,2013-01-26,77,80,3,26,4,2,14,4,3,1,3,7,0,59,45-60,4468,very loyal,1,3,129
1986,Master,Single,21888.0,1,0,2012-12-29,15,88,10,46,2,3,64,4,5,1,2,10,1,39,30-45,4496,very loyal,1,2,213
1973,Graduation,Widowed,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,52,45-60,4087,very loyal,0,2,67
1956,Graduation,Divorced,26150.0,2,1,2013-03-11,61,5,1,13,3,5,1,1,1,0,3,7,0,69,60-80,4424,very loyal,1,4,28
1975,Basic,Married,30801.0,0,1,2012-10-26,23,8,4,5,15,2,11,2,1,0,3,7,0,50,45-60,4560,very loyal,0,2,45
1965,Graduation,Married,81168.0,0,0,2014-05-07,84,410,0,592,147,22,22,1,6,4,7,3,0,60,45-60,4002,very loyal,0,1,1193
1969,Master,Single,26877.0,0,0,2013-08-19,74,101,13,76,20,18,40,2,3,1,6,6,0,56,45-60,4263,very loyal,0,1,268
1944,Master,Widowed,45006.0,0,0,2013-07-18,90,162,25,53,16,0,10,1,3,1,7,3,0,81,80+,4295,very loyal,0,1,266
1973,Basic,Married,18978.0,1,0,2012-12-11,41,2,8,1,4,7,15,1,1,0,3,8,0,52,45-60,4514,very loyal,1,2,37
1967,Graduation,Married,22574.0,2,1,2013-10-28,28,25,0,8,2,0,2,2,2,0,3,7,0,58,45-60,4193,very loyal,1,4,37
1969,Phd,Single,48240.0,0,0,2012-11-09,73,389,91,248,64,49,41,3,6,3,13,5,1,56,45-60,4546,very loyal,0,1,882
